21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
11918;11918;11918;11918;11918;11918;11918;11918;11918;11918;11918;11918;11918;11918;11918;11918;11918;11918
23689;23689;23689;23689;23689;23689;23689;23689;23689;23689;23689;23689;23689;23689;23689;23689;23689;23689
37909;37909;37909;37909;37909;37909;37909;37909;37909;37909;37909;37909;37909;37909;37909;37909;37909;37909
55965;55965;55965;55965;55965;55965;55965;55965;55965;55965;55965;55965;55965;55965;55965;55965;55965;55965
9515;11105;12694;14284;15874;17464;19054;20643;22233;23823;28583;33344;38104;42865;47625;52386;57146;61907
5182;5954;6725;7497;8269;9041;9813;10584;11356;12128;15896;19664;23432;27200;30968;34736;38504;42272
2296;2563;2830;3097;3365;3632;3899;4166;4433;4700;7555;10410;13265;16120;18976;21831;24686;27541
1600;1614;1629;1643;1658;1673;1687;1702;1716;1731;3511;5291;7071;8851;10631;12411;14191;15971
1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1586;2090;2594;3098;3601;4105;4609;5113
